stop_id,stop_skip_rate,stop_count
9022001000101001,0.0,451
9022001000102001,0.0,386
9022001000103001,0.0,112
9022001000104001,0.0,77
9022001000105001,0.0,95
9022001000106001,0.0,90
9022001000107001,0.0,83
9022001000108001,0.0,81
9022001000109001,0.0,90
9022001000110001,0.0,76
9022001000111001,0.0,88
9022001000112001,0.0,93
9022001000113001,0.0,69
9022001000114001,0.0,75
9022001000115001,0.0,79
9022001000116001,0.0,70
9022001000117001,0.0,74
9022001000118001,0.0,183
9022001000119001,0.0,192
9022001000120001,0.0,163
9022001000121001,0.0,168
9022001000122001,0.0,168
9022001000123001,0.0,135
9022001000124001,0.0,139
9022001000125001,0.0,201
9022001000126001,0.0,118
9022001000127001,0.0,125
9022001000128001,0.0,79
9022001000129001,0.0,88
9022001000130001,0.0,81
9022001000131001,0.0,49
9022001000132001,0.0,63
9022001000133001,0.0,61
9022001000134001,0.0,68
9022001000135001,0.0,96
9022001000136001,0.0,92
9022001000137001,0.0,92
9022001000138001,0.0,95
9022001000139001,0.0,103
9022001000141001,0.0,121
9022001000142001,0.0,97
9022001000143001,0.0,105
9022001000144001,0.0,108
9022001000145001,0.0,133
9022001000146001,0.0,139
9022001000147001,0.0,172
9022001000148001,0.0,50
9022001000149001,0.0,109
9022001000150001,0.0,186
9022001000151001,0.0,186
9022001000152001,0.0,181
9022001000153001,0.0,179
9022001000154001,0.0,161
9022001000155001,0.0,165
9022001000156001,0.0,169
9022001000157001,0.0,192
9022001000158001,0.0,169
9022001000159001,0.0,169
9022001000160001,0.0,164
9022001000161001,0.0,177
9022001000162001,0.0,172
9022001000163001,0.0,234
9022001000164001,0.0,64
9022001000165001,0.0,89
9022001000166001,0.0,159
9022001000167001,0.0,36
9022001000168001,0.0,187
9022001000169001,0.0,167
9022001000170001,0.0,146
9022001000171001,0.0,137
9022001000172001,0.0,128
9022001000173001,0.0,132
9022001000174001,0.0,135
9022001000175001,0.0,137
9022001000176001,0.0,135
9022001000177001,0.0,136
9022001000178001,0.0,152
9022001000179001,0.0,167
9022001000180001,0.0,170
9022001000181001,0.0,155
9022001000182001,0.0,157
9022001000183001,0.0,152
9022001000184001,0.0,129
